ndc11,state,year,quarter,drug_name,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,utilization_type,labeler_code,product_code,package_size,suppression_used,quarter_begin_date
00206885416,AK,2022,4,ZOSYN     ,,,,,,FFSU,00206,8854,16,true,2022-10-01
00206886101,AK,2022,4,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-10-01
00206885416,AK,2022,3,ZOSYN     ,,,,,,FFSU,00206,8854,16,true,2022-07-01
00206886101,AK,2022,3,ZOSYN     ,,,,,,FFSU,00206,8861,01,true,2022-07-01
00206885516,AK,2022,2,ZOSYN     ,,,,,,FFSU,00206,8855,16,true,2022-04-01
00206885216,AK,2022,1,ZOSYN     ,,,,,,FFSU,00206,8852,16,true,2022-01-01
00206885416,AK,2022,1,ZOSYN     ,,,,,,FFSU,00206,8854,16,true,2022-01-01
00206885516,AK,2022,1,ZOSYN     ,,,,,,FFSU,00206,8855,16,true,2022-01-01
00206886101,AL,2022,4,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-10-01
00206886102,AL,2022,4,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-10-01
00206886102,AL,2022,3,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-07-01
00206886101,AL,2022,2,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-04-01
00206886102,AL,2022,2,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-04-01
00206886101,AL,2022,1,ZOSYN 3.37,,,,,,FFSU,00206,8861,01,true,2022-01-01
00206886102,AL,2022,1,ZOSYN 3.37,,,,,,FFSU,00206,8861,02,true,2022-01-01
00206885416,AR,2022,2,ZOSYN     ,,,,,,FFSU,00206,8854,16,true,2022-04-01
00206886102,AZ,2022,4,ZOSYN     ,,,,,,MCOU,00206,8861,02,true,2022-10-01
00206886102,AZ,2022,2,ZOSYN     ,144.0,15.0,2773.14,2773.14,0.0,MCOU,00206,8861,02,false,2022-04-01
00206886102,AZ,2022,1,ZOSYN     ,,,,,,MCOU,00206,8861,02,true,2022-01-01
00206886102,AZ,2022,1,ZOSYN     ,,,,,,FFSU,00206,8861,02,true,2022-01-01
