hcpcs_code,hcpcs_code,total_spending,total_units,beneficiaries
90371,Hepatitis b immune globulin for injection into muscle,,,
90375,Rabies immune globulin for injection,,,
90376,"Rabies immune globulin for injection beneath the skin and/or into muscle, heat-treated",,,
90377,Rabies immune globulin for injection beneath the skin and/or into muscle,,,
90632,Hepatitis a vaccine adult dosage,,,
90662,"Influenza vaccine split virus, preservative free",,,
90670,"Pneumococcal vaccine, 13-valent",,,
90671,"Pneumococcal conjugate vaccine, 15 valent (pcv15), for intramuscular use",,,
90672,"Influenza vaccine, quadrivalent for nasal administration",,,
90674,"Influenza vaccine, quadrivalent derived from cell cultures, preservative and antibiotic free",,,
90675,Rabies vaccine for injection into muscle,,,
90677,"Pneumococcal conjugate vaccine, 20 valent (pcv20), for intramuscular use",,,
90682,"Influenza vaccine, quadrivalent derived from recombinant dna",,,
90686,"Influenza vaccine, quadrivalent, preservative free, 0.5 ml dosage",,,
90687,"Influenza vaccine, quadrivalent, 0.25 ml dosage",,,
90688,"Influenza vaccine, quadrivalent, 0.5 ml dosage",,,
90694,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",,,
90714,Diphtheria and tetanus vaccine (7 years or older),,,
90715,"Diphtheria, tetanus, and acellular pertussis vaccine (7 years or older)",,,
90732,"Pneumococcal vaccine, 23-valent",,,
90739,"Hepatitis b vaccine (hepb), cpg-adjuvanted, adult dosage, 2 dose or 4 dose schedule, for intramuscular use",,,
90740,"Hepatitis b vaccine, dialysis or immunosuppressed patient dosage",,,
90743,"Hepatitis b vaccine, adolescent dosage",,,
90744,"Hepatitis b vaccine, pediatric or adolescent dosage (3 dose schedule)",,,
90746,"Hepatitis b vaccine, adult dosage (3 dose schedule)",,,
90747,"Hepatitis b vaccine, dialysis or immunosuppressed patient dosage (4 dose schedule)",,,
90756,"Influenza vaccine, quadrivalent derived from cell cultures",,,
90759,"Vaccine for hepatitis b (3 dose schedule) for injection into muscle, 10 mcg dosage",,,
91304,"Severe acute respiratory syndrome coronavirus 2 (covid-19) vaccine, recombinant spike protein nanoparticle, saponin-based adjuvant, preservative free, 5 mcg/0.5ml dosage, for intramuscular use",,,
91318,Sarscov2 vac 3mcg trs-suc im,,,
91319,Sarscv2 vac 10mcg trs-suc im,,,
91320,Sarscv2 vac 30mcg trs-suc im,,,
91321,Sarscov2 vac 25 mcg/.25ml im,,,
91322,Sarscov2 vac 50 mcg/0.5ml im,,,
A9575,"Injection, gadoterate meglumine, 0.1 ml",,,
A9576,"Injection, gadoteridol, (prohance multipack), per ml",,,
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",,,
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",,,
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",,,
A9581,"Injection, gadoxetate disodium, 1 ml",,,
A9585,"Injection, gadobutrol, 0.1 ml",,,
A9589,"Instillation, hexaminolevulinate hydrochloride, 100 mg",,,
J0121,"Injection, omadacycline, 1 mg",,,
J0122,"Injection, eravacycline, 1 mg",,,
J0129,"Injection, abatacept, 10 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)",,,
J0131,"Injection, acetaminophen, not otherwise specified,10 mg",,,
