ndc11,state,year,quarter,units_reimbursed,num_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,amount_per_unit,amount_per_rx,prev_units,units_yoy_growth
206240401,MN,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206240401,MN,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206240401,MN,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206240401,MN,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206240401,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206240401,XX,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206240401,XX,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206240401,XX,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206241101,MS,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206241101,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206241102,FL,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206241102,FL,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206241102,FL,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206241102,VA,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206241102,VA,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206241102,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206241102,XX,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206241102,XX,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206241102,XX,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206241302,NY,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206241302,NY,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206241302,NY,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206241302,XX,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206241302,XX,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206241302,XX,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206241601,FL,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206241601,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206310001,MS,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206310001,MS,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206310001,MS,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206310001,MS,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206310001,MS,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206310001,MS,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206310001,MS,2024,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206310001,XX,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206310001,XX,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206310001,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206310001,XX,2023,2,0.0,0.0,0.0,0.0,0.0,,,,
206310001,XX,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206310001,XX,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206310001,XX,2024,2,0.0,0.0,0.0,0.0,0.0,,,0.0,
206350110,NV,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206350110,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206410002,WV,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206410002,XX,2024,3,0.0,0.0,0.0,0.0,0.0,,,,
206845525,TN,2022,1,31.0,21.0,0.0,0.0,0.0,0.0,0.0,,
206845525,TN,2022,2,35.0,27.0,0.0,0.0,0.0,0.0,0.0,,
206845525,TN,2022,3,73.0,47.0,0.0,0.0,0.0,0.0,0.0,,
206845525,TN,2022,4,43.0,33.0,0.0,0.0,0.0,0.0,0.0,,
206845525,TN,2023,1,64.0,44.0,0.0,0.0,0.0,0.0,0.0,31.0,1.064516129032258
206845525,TN,2023,2,215.0,56.0,0.0,0.0,0.0,0.0,0.0,35.0,5.142857142857143
206845525,TN,2023,3,157.0,45.0,0.0,0.0,0.0,0.0,0.0,73.0,1.1506849315068493
206845525,TN,2023,4,174.0,42.0,0.0,0.0,0.0,0.0,0.0,43.0,3.046511627906977
206845525,TN,2024,1,81.5,26.0,0.0,0.0,0.0,0.0,0.0,64.0,0.2734375
206845525,TN,2024,2,0.0,0.0,0.0,0.0,0.0,,,215.0,-1.0
206845525,TN,2024,3,59.0,37.0,0.0,0.0,0.0,0.0,0.0,157.0,-0.6242038216560509
206845525,TN,2024,4,38.0,28.0,0.0,0.0,0.0,0.0,0.0,174.0,-0.7816091954022989
206845525,XX,2022,1,31.0,21.0,0.0,0.0,0.0,0.0,0.0,,
206845525,XX,2022,2,35.0,27.0,0.0,0.0,0.0,0.0,0.0,,
206845525,XX,2022,3,73.0,47.0,0.0,0.0,0.0,0.0,0.0,,
206845525,XX,2022,4,43.0,33.0,0.0,0.0,0.0,0.0,0.0,,
206845525,XX,2023,1,64.0,44.0,0.0,0.0,0.0,0.0,0.0,31.0,1.064516129032258
206845525,XX,2023,2,215.0,56.0,0.0,0.0,0.0,0.0,0.0,35.0,5.142857142857143
206845525,XX,2023,3,157.0,45.0,0.0,0.0,0.0,0.0,0.0,73.0,1.1506849315068493
206845525,XX,2023,4,174.0,42.0,0.0,0.0,0.0,0.0,0.0,43.0,3.046511627906977
206845525,XX,2024,1,81.5,26.0,0.0,0.0,0.0,0.0,0.0,64.0,0.2734375
206845525,XX,2024,2,0.0,0.0,0.0,0.0,0.0,,,215.0,-1.0
206845525,XX,2024,3,59.0,37.0,0.0,0.0,0.0,0.0,0.0,157.0,-0.6242038216560509
206845525,XX,2024,4,38.0,28.0,0.0,0.0,0.0,0.0,0.0,174.0,-0.7816091954022989
206885208,LA,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885208,MS,2024,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NC,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NC,2023,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NE,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NY,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NY,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,NY,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885208,XX,2023,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885208,XX,2023,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885208,XX,2024,4,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,AK,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2023,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,DE,2024,3,0.0,0.0,0.0,0.0,0.0,,,0.0,
206885216,FL,2022,2,93.0,16.0,241.35,48.6,192.75,2.5951612903225807,15.084375,,
206885216,FL,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2022,4,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2023,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2024,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,ID,2024,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2022,1,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2022,2,0.0,0.0,0.0,0.0,0.0,,,,
206885216,KY,2022,3,0.0,0.0,0.0,0.0,0.0,,,,
