brand_name,generic_name,total_manufacturers,manufacturer,total_spending,total_dosage_units,total_claims,total_beneficiaries,avg_spend_per_unit,avg_spend_per_claim,avg_spend_per_bene,outlier_flag,year,spend_per_unit_calc,spend_per_claim_calc,spend_per_bene_calc,prev_spending,spending_yoy_growth
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,22,Overall,12427762.31,8138279.651,60306.0,21596.0,2.1250632729,206.07837214,575.46593397,1.0,2019,1.5270748663045668,206.07837213544258,575.4659339692536,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Xellia Pharmace,,,,,,,,,2019,,,,12427762.31,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Wockhardt USA L,2592989.7,1177214.678,12316.0,5113.0,2.5344636754,210.53829977,507.13665167,0.0,2019,2.2026481222654275,210.5382997726535,507.13665167220813,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,WG Critical Car,597381.56,466065.125,3063.0,1278.0,1.3885706591,195.03152465,467.43471049,1.0,2019,1.281755548647842,195.0315246490369,467.43471048513305,2592989.7,-0.7696166860979047
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz,1259062.83,470250.073,5788.0,2561.0,2.9350137304,217.52986006,491.62937524,0.0,2019,2.6774325030248325,217.5298600552868,491.6293752440453,597381.56,1.107635913636169
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sagent Pharmace,52208.7,14181.667,300.0,143.0,4.8031001843,174.029,365.0958042,1.0,2019,3.6814219372094974,174.029,365.0958041958042,1259062.83,-0.9585336817543887
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Provepharm Inc.,,,,,,,,,2019,,,,52208.7,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Sandoz-Novaplus,228994.24,27347.084,1018.0,404.0,8.6102696508,224.94522593,566.81742574,0.0,2019,8.373625502448451,224.94522593320235,566.8174257425742,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Piramal Critica,,,,,,,,,2019,,,,228994.24,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Meitheal Pharma,,,,,,,,,2019,,,,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Hospira/Pfizer,808809.2,506747.956,5209.0,2380.0,2.0554906852,155.27149165,339.83579832,1.0,2019,1.5960778734744416,155.2714916490689,339.8357983193277,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Premi,3279.35,432.0,47.0,21.0,7.8321842421,69.773404255,156.15952381,1.0,2019,7.591087962962963,69.77340425531915,156.15952380952382,808809.2,-0.9959454590773695
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius-Novap,156628.12,200028.948,975.0,345.0,0.7830272646,160.64422564,453.99455072,1.0,2019,0.7830272646337169,160.64422564102563,453.9945507246377,3279.35,46.7619406284782
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Fresenius Kabi,76984.39,25693.0,417.0,214.0,4.7756415854,184.61484412,359.74014019,0.0,2019,2.9963176740746507,184.61484412470023,359.7401401869159,156628.12,-0.5084893440590361
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,"Civica, Inc.",,,,,,,,,2019,,,,76984.39,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Bluepoint Labor,,,,,,,,,2019,,,,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Auromedics-Eugi,3206118.88,3341311.812,14855.0,6111.0,0.9818230285,215.82759206,524.64717395,0.0,2019,0.9595389656498182,215.82759205654662,524.6471739486173,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Athenex Pharmac,4360.24,295.333,25.0,22.0,44.866965809,174.4096,198.19272727,1.0,2019,14.763808988497727,174.40959999999998,198.19272727272727,3206118.88,-0.9986400254752874
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Armas Pharmaceu,,,,,,,,,2019,,,,4360.24,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App/Fresenius K,1736319.61,794421.065,7491.0,2644.0,2.5084238133,231.78742624,656.70181921,0.0,2019,2.1856414519924647,231.78742624482715,656.7018192133132,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,App-Premierpro,235918.64,144287.975,1851.0,745.0,2.0080709582,127.45469476,316.66931544,0.0,2019,1.6350540646231955,127.45469475958942,316.6693154362416,1736319.61,-0.8641271810551054
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apotex Corp,1411277.25,802113.098,6463.0,2487.0,2.0515446342,218.36256382,567.46170084,0.0,2019,1.7594492017633154,218.36256382484913,567.4617008443909,235918.64,4.982050634066049
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Apollo/Provepha,57429.6,167889.837,488.0,247.0,0.3872685485,117.68360656,232.50850202,1.0,2019,0.34206716157571826,117.68360655737705,232.5085020242915,1411277.25,-0.9593066493490204
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,22,Overall,12592151.01,8344102.103,62454.0,21647.0,2.9860601592,201.62281055,581.7042089,1.0,2020,1.509107972860576,201.62281054856373,581.7042088973068,57429.6,218.26238403192778
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Xellia Pharmace,,,,,,,,,2020,,,,12592151.01,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,Wockhardt USA L,2254268.27,1565777.822,9798.0,4086.0,2.707648655,230.07432843,551.70540137,0.0,2020,1.4397114573513228,230.07432843437437,551.7054013705335,,
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,1,WG Critical Car,482429.62,731437.867,2195.0,975.0,1.5785068286,219.78570387,494.79961026,0.0,2020,0.6595633638420856,219.78570387243735,494.79961025641023,2254268.27,-0.7859928090989808
